Pedurma-ID,Other-ID,Title,Image-group,Range,First-image,Last-image
AT2569,Q4692,he ru ka dran pa gcig pa'i sgrub thabs,I1PD95887,1506-1509,I1PD958871563.jpg,I1PD958871566.jpg
AT2570,Q4693,dpal mchog tu gyur pa'i ngo bo nyid bde ba chen po'i go 'phang rdo rje zhes bya ba'i ting nge 'dzin,I1PD95887,1510-1514,I1PD958871567.jpg,I1PD958871571.jpg
AT2571,Q4694,lhan cig skyes pa grub pa,I1PD95887,1515-1518,I1PD958871572.jpg,I1PD958871575.jpg
AT2572,Q4697,dges pa rdo rje'i lus kyi don rab tu gsal ba zhes bya ba,I1PD95887,1519-1548,I1PD958871576.jpg,I1PD958871605.jpg
AT2574,Q4698,cung zad dran pa zhes bya ba,I1PD95887,1551-1558,I1PD958871608.jpg,I1PD958871615.jpg
AT2575,Q4699,sbyor ba mdor bsdus zhes bya ba,I1PD95887,1559-1569,I1PD958871616.jpg,I1PD958871626.jpg
AT2576,Q4700,sgron me gcig pa'i man ngag,I1PD95887,1570-1572,I1PD958871627.jpg,I1PD958871629.jpg
AT2577,Q4701,dges pa rdo rje'i man ngag,I1PD95887,1573-1582,I1PD958871630.jpg,I1PD958871639.jpg
AT2578,Q4702,byA la'i man ngag,I1PD95887,1583-1584,I1PD958871640.jpg,I1PD958871641.jpg
AT2579,Q4703,rnal 'byor yan lag drug pa man ngag gsal ba,I1PD95887,1585-1591,I1PD958871642.jpg,I1PD958871648.jpg
AT2580,Q4704,rnal 'byor mdor bstan,I1PD95887,1592-1594,I1PD958871649.jpg,I1PD958871651.jpg
AT2581,Q4705,de kho na nyid bzhi pa,I1PD95887,1595-1602,I1PD958871652.jpg,I1PD958871659.jpg
AT2582,Q4706,bdag med ma'i byin rlabs,I1PD95887,1603-1605,I1PD958871660.jpg,I1PD958871662.jpg
AT2584,Q4708,bdag med ma'i stobs kyi 'khor lo sgrub pa'i thabs,I1PD95887,1610-1612,I1PD958871667.jpg,I1PD958871669.jpg
AT2586,Q4710,'jig rten gsum las rnam par rgyal ba 'phags ma sgrol ma sgrub pa'i thabs zhes bya ba,I1PD95887,1616-1624,I1PD958871673.jpg,I1PD958871681.jpg
